empid,firstname,lastname,fullname,userid,department,role,managedby
937737,Laura,Walsh,Laura Walsh,laura_walsh@kanakjr.in,HR,HR Head,933212
827849,Melinda,Blevins,Melinda Blevins,melinda_blevins@kanakjr.in,HR,HR,937737
170592,Stephen,Smith,Stephen Smith,stephen_smith@kanakjr.in,HR,HR,937737
651664,William,Elliott,William Elliott,william_elliott@kanakjr.in,HR,HR,937737
986385,Timothy,Jones,Timothy Jones,timothy_jones@kanakjr.in,HR,HR,937737
152828,Antonio,Shelton,Antonio Shelton,antonio_shelton@kanakjr.in,IT,Team Lead,027914
967062,Rebecca,Molina,Rebecca Molina,rebecca_molina@kanakjr.in,IT,Team Lead,319444
298972,Sarah,Gray,Sarah Gray,sarah_gray@kanakjr.in,IT,Team Lead,829006
050071,Timothy,Roberts,Timothy Roberts,timothy_roberts@kanakjr.in,IT,Tester,152828
179979,Mark,Murphy,Mark Murphy,mark_murphy@kanakjr.in,IT,Tester,967062
150091,Jamie,Gomez,Jamie Gomez,jamie_gomez@kanakjr.in,IT,Developer,298972
487774,Jessica,Jones,Jessica Jones,jessica_jones@kanakjr.in,IT,Developer,298972
280147,Kyle,Frye,Kyle Frye,kyle_frye@kanakjr.in,IT,Tester,967062
000391,Kimberly,Walsh,Kimberly Walsh,kimberly_walsh@kanakjr.in,IT,Developer,152828
983402,Crystal,Carey,Crystal Carey,crystal_carey@kanakjr.in,IT,Developer,967062
772148,Mary,Moreno,Mary Moreno,mary_moreno@kanakjr.in,IT,Developer,152828
041006,Shannon,Gonzalez,Shannon Gonzalez,shannon_gonzalez@kanakjr.in,IT,Developer,152828
325602,Aaron,Thompson,Aaron Thompson,aaron_thompson@kanakjr.in,IT,Developer,298972
779198,Amy,Woods,Amy Woods,amy_woods@kanakjr.in,IT,Tester,152828
594059,Jorge,Wright,Jorge Wright,jorge_wright@kanakjr.in,IT,Tester,298972
884019,Gregory,Anderson,Gregory Anderson,gregory_anderson@kanakjr.in,IT,Tester,967062
960694,Paula,Hunter,Paula Hunter,paula_hunter@kanakjr.in,IT,Tester,967062
756059,Teresa,Black,Teresa Black,teresa_black@kanakjr.in,IT,Developer,298972
189598,Carrie,Johnson,Carrie Johnson,carrie_johnson@kanakjr.in,IT,Developer,967062
775822,Mark,Lawrence,Mark Lawrence,mark_lawrence@kanakjr.in,IT,Tester,967062
069843,Donna,Butler,Donna Butler,donna_butler@kanakjr.in,IT,Tester,298972
032060,Christopher,Rivera,Christopher Rivera,christopher_rivera@kanakjr.in,IT,Developer,967062
201540,Jacqueline,Holder,Jacqueline Holder,jacqueline_holder@kanakjr.in,IT,Developer,152828
180306,Amanda,Chen,Amanda Chen,amanda_chen@kanakjr.in,IT,Tester,298972
319760,Laura,Roberts,Laura Roberts,laura_roberts@kanakjr.in,IT,Developer,152828
503467,Kimberly,Harris,Kimberly Harris,kimberly_harris@kanakjr.in,IT,Developer,152828
733669,Kenneth,Beasley,Kenneth Beasley,kenneth_beasley@kanakjr.in,IT,Tester,298972
421058,Juan,Thompson,Juan Thompson,juan_thompson@kanakjr.in,IT,Tester,152828
557784,Bryan,Nicholson,Bryan Nicholson,bryan_nicholson@kanakjr.in,IT,Tester,967062
379179,Joshua,Marshall,Joshua Marshall,joshua_marshall@kanakjr.in,IT,Developer,298972
898287,Kimberly,Williams,Kimberly Williams,kimberly_williams@kanakjr.in,SUPPORT,L1,051855
632381,Jacob,Smith,Jacob Smith,jacob_smith@kanakjr.in,SUPPORT,L0,051855
377574,Elizabeth,Burke,Elizabeth Burke,elizabeth_burke@kanakjr.in,SUPPORT,L0,051855
802586,Zachary,Anderson,Zachary Anderson,zachary_anderson@kanakjr.in,SUPPORT,L0,051855
898930,Joseph,Yoder,Joseph Yoder,joseph_yoder@kanakjr.in,SUPPORT,L1,051855
362194,Scott,Melendez,Scott Melendez,scott_melendez@kanakjr.in,SUPPORT,l2,051855
143024,Brittney,Sanchez,Brittney Sanchez,brittney_sanchez@kanakjr.in,SUPPORT,l2,051855
558981,Tara,Wilkinson,Tara Wilkinson,tara_wilkinson@kanakjr.in,SUPPORT,l2,051855
357121,Courtney,Richardson,Courtney Richardson,courtney_richardson@kanakjr.in,SUPPORT,L1,051855
982156,Thomas,Long,Thomas Long,thomas_long@kanakjr.in,SUPPORT,L0,051855
775277,Sally,Ortega,Sally Ortega,sally_ortega@kanakjr.in,SUPPORT,L0,051855
583657,Luis,Higgins,Luis Higgins,luis_higgins@kanakjr.in,SUPPORT,L1,051855
181052,Jessica,Hawkins,Jessica Hawkins,jessica_hawkins@kanakjr.in,SUPPORT,L1,051855
782303,Samuel,Frazier,Samuel Frazier,samuel_frazier@kanakjr.in,SUPPORT,L0,051855
404697,Regina,Ramirez,Regina Ramirez,regina_ramirez@kanakjr.in,SUPPORT,L0,051855
540203,Nancy,Hall,Nancy Hall,nancy_hall@kanakjr.in,SUPPORT,L0,051855
886420,Preston,Miller,Preston Miller,preston_miller@kanakjr.in,SUPPORT,l2,051855
305252,Kevin,Jimenez,Kevin Jimenez,kevin_jimenez@kanakjr.in,SUPPORT,l2,051855
927650,Calvin,Friedman,Calvin Friedman,calvin_friedman@kanakjr.in,SUPPORT,l2,051855
519970,Henry,Byrd,Henry Byrd,henry_byrd@kanakjr.in,SUPPORT,L1,051855
281395,Lucas,Harvey,Lucas Harvey,lucas_harvey@kanakjr.in,SUPPORT,L0,051855
261254,Patrick,Rosales,Patrick Rosales,patrick_rosales@kanakjr.in,SUPPORT,L1,051855
852142,Diane,Robles,Diane Robles,diane_robles@kanakjr.in,SUPPORT,l2,051855
013357,Kyle,Dean,Kyle Dean,kyle_dean@kanakjr.in,SUPPORT,L1,051855
040796,Noah,Pearson,Noah Pearson,noah_pearson@kanakjr.in,SUPPORT,L1,051855
045703,Mary,Smith,Mary Smith,mary_smith@kanakjr.in,SUPPORT,L1,051855
021902,Keith,Stewart,Keith Stewart,keith_stewart@kanakjr.in,SUPPORT,L1,051855
334848,Rickey,Moore,Rickey Moore,rickey_moore@kanakjr.in,SUPPORT,l2,051855
027491,Jose,Liu,Jose Liu,jose_liu@kanakjr.in,SUPPORT,L0,051855
947987,Michael,Davis,Michael Davis,michael_davis@kanakjr.in,SUPPORT,L1,051855
061422,Linda,Ortiz,Linda Ortiz,linda_ortiz@kanakjr.in,SUPPORT,L0,051855
645274,Monica,Green,Monica Green,monica_green@kanakjr.in,SUPPORT,l2,051855
618990,Cody,Wilson,Cody Wilson,cody_wilson@kanakjr.in,SUPPORT,l2,051855
314058,John,Watkins,John Watkins,john_watkins@kanakjr.in,SUPPORT,L0,051855
399044,Michael,Taylor,Michael Taylor,michael_taylor@kanakjr.in,SUPPORT,L0,051855
766114,Jennifer,Bates,Jennifer Bates,jennifer_bates@kanakjr.in,SECURITY,Pentester,454593
180475,Rebecca,Thomas,Rebecca Thomas,rebecca_thomas@kanakjr.in,SECURITY,Analyst,454593
938432,Gabriel,Wilson,Gabriel Wilson,gabriel_wilson@kanakjr.in,SECURITY,Admins,
480155,Vanessa,Dunn,Vanessa Dunn,vanessa_dunn@kanakjr.in,SECURITY,Pentester,454593
506846,Aaron,Beltran,Aaron Beltran,aaron_beltran@kanakjr.in,SECURITY,Admins,
147222,Robert,Hood,Robert Hood,robert_hood@kanakjr.in,SECURITY,Admins,
061453,Edward,Smith,Edward Smith,edward_smith@kanakjr.in,SECURITY,Analyst,454593
496775,Tami,Johnson,Tami Johnson,tami_johnson@kanakjr.in,SECURITY,Analyst,454593
097282,Jason,Lewis,Jason Lewis,jason_lewis@kanakjr.in,SECURITY,Admins,
969081,Katie,Wolfe,Katie Wolfe,katie_wolfe@kanakjr.in,SECURITY,Admins,
344520,Paul,Brooks,Paul Brooks,paul_brooks@kanakjr.in,SECURITY,Analyst,454593
184427,Jeffrey,Simpson,Jeffrey Simpson,jeffrey_simpson@kanakjr.in,SECURITY,Admins,
660202,Christopher,Wilson,Christopher Wilson,christopher_wilson@kanakjr.in,SECURITY,Pentester,454593
703699,Jacqueline,Miller,Jacqueline Miller,jacqueline_miller@kanakjr.in,SECURITY,Admins,
468121,Phillip,Wolfe,Phillip Wolfe,phillip_wolfe@kanakjr.in,SECURITY,Admins,
394418,Jeremy,Kim,Jeremy Kim,jeremy_kim@kanakjr.in,SECURITY,Pentester,454593
810136,William,Cobb,William Cobb,william_cobb@kanakjr.in,SECURITY,Pentester,454593
844812,Erik,Wallace,Erik Wallace,erik_wallace@kanakjr.in,SECURITY,Pentester,454593
130781,Wayne,Hernandez,Wayne Hernandez,wayne_hernandez@kanakjr.in,SECURITY,Admins,
543902,Courtney,Brady,Courtney Brady,courtney_brady@kanakjr.in,SECURITY,Admins,
933212,Shane,Hampton,Shane Hampton,shane_hampton@kanakjr.in,MANAGEMENT,CEO,
454593,Peter,Zavala,Peter Zavala,peter_zavala@kanakjr.in,MANAGEMENT,CISO,933212
051855,Charles,Baird,Charles Baird,charles_baird@kanakjr.in,MANAGEMENT,Delivery Head,933212
027914,Jeffery,Vaughn,Jeffery Vaughn,jeffery_vaughn@kanakjr.in,MANAGEMENT,Product Owner,933212
829006,Jill,Williams,Jill Williams,jill_williams@kanakjr.in,MANAGEMENT,Product Owner,933212
319444,Michael,Miller,Michael Miller,michael_miller@kanakjr.in,MANAGEMENT,Product Owner,933212
282415,Mark,Snow,Mark Snow,mark_snow@kanakjr.in,MANAGEMENT,Product Owner,933212
257885,Keith,Thompson,Keith Thompson,keith_thompson@kanakjr.in,MANAGEMENT,Product Owner,933212
452396,Rachel,Luna,Rachel Luna,rachel_luna@kanakjr.in,MANAGEMENT,Product Owner,933212
883132,Wanda,Wells,Wanda Wells,wanda_wells@kanakjr.in,MANAGEMENT,Product Owner,933212
